transaction_id,customer_id,customer_success_rate,customer_lifetime_value,amount,payment_method,failure_reason,retry_count,transaction_hour,recovered
24,12875,0.6784147168392513,12996.064437540774,2348.5684792688717,Wallet,Bank Declined,1,6,0
25,11538,0.7378987419457897,7863.1009210680495,5869.603751606057,UPI,Technical Error,1,12,1
26,11910,0.8294745593267222,7184.216909907086,1366.0555960975748,NetBanking,Expired Card,0,22,0
27,12659,0.42899666071001313,3305.885176620921,4705.935301646033,NetBanking,Bank Declined,1,5,0
28,12642,0.7851671401583256,11286.485094159689,4751.0532973159825,UPI,Bank Declined,2,16,1
29,11303,0.7295419035701356,19562.9298388811,1372.5220481911754,Card,Technical Error,0,23,1
30,10131,0.5884494646855807,3497.2992003086842,7414.277986980141,UPI,Technical Error,0,1,0
31,10392,0.40767942366030396,4808.722799146179,11700.999848380443,UPI,Network Error,0,4,0
32,10480,0.7207447494656608,5545.585814650995,22577.8455894622,Wallet,Expired Card,0,7,0
33,12675,0.8967880274880962,18029.087007865226,2293.805374570684,UPI,Insufficient Funds,0,6,0
34,12034,0.6417366131508314,21922.7899767853,3608.7721172826027,UPI,Network Error,1,15,1
35,12466,0.5989463855702496,11087.370483930741,3836.012360720923,NetBanking,Insufficient Funds,3,1,0
36,11225,0.7878469533850601,2338.456212078223,5800.915685232307,Card,Insufficient Funds,1,21,0
37,12699,0.713523723999958,5168.4336465660745,17129.1975432956,Card,Insufficient Funds,4,10,1
38,12705,0.623188092892247,3582.7137464805955,4850.454195536976,NetBanking,Network Error,1,16,0
39,10461,0.7247973234277703,30155.81987734727,4984.356968884642,UPI,Network Error,2,6,0
40,11801,0.45493217815033243,6075.178077416101,997.5773842453821,NetBanking,Insufficient Funds,0,1,1
41,10151,0.756803100009747,43327.90934476215,23124.404695846246,NetBanking,Network Error,1,21,0
42,12269,0.789989531361497,11980.826347706508,1853.1783249487542,UPI,Network Error,0,6,1
43,10078,0.98,15769.227145467601,208.59110746527273,Card,Insufficient Funds,2,11,0
44,11223,0.6609304674451616,12750.170963426326,306.2198074474536,UPI,Insufficient Funds,0,8,0
45,11785,0.7072083234145461,37030.86410019568,4126.053842811412,UPI,Insufficient Funds,3,2,0
46,12146,0.7823919513014387,3244.9432596714655,834.5447261590072,UPI,Network Error,1,1,1
47,12024,0.6729445778409031,14591.481163195973,3145.6792573172183,Card,Technical Error,2,19,1
48,12959,0.8289254188666009,5524.73181387179,668.6447331058828,Wallet,Network Error,2,19,1
49,12260,0.883124368865201,5666.232860186498,4044.2089493475737,Card,Insufficient Funds,2,20,1
50,12749,0.525158760856809,9276.069076366251,5241.03989384126,NetBanking,Expired Card,1,22,0
51,11836,0.5742036963865196,9079.552266812027,3554.026682927547,UPI,Bank Declined,1,18,1
52,11397,0.6729066820749346,13848.804925547864,1485.7367487399158,UPI,Technical Error,2,4,0
53,11075,0.8955720406736299,1730.4778611832448,7176.464258692473,Wallet,Insufficient Funds,0,12,0
54,11647,0.8074121787757871,28993.275387433143,1999.4681690049142,NetBanking,Network Error,3,4,1
55,12182,0.6664937263564769,40740.58016605241,2469.1858836347133,UPI,Network Error,3,12,1
56,10410,0.7463710179890215,27624.409435222457,1790.5955107996351,Card,Technical Error,0,22,1
57,12008,0.6881051473473225,3620.771343052278,2280.3490871945755,UPI,Network Error,1,14,1
58,11493,0.7185882630215407,16798.077290827554,19365.509817093065,Card,Bank Declined,1,22,0
59,11135,0.45801514767218526,12299.817690466823,2966.234927893527,NetBanking,Bank Declined,1,2,0
60,11548,0.5398679831972985,22745.998323130632,837.45977947433,Card,Expired Card,1,18,0
61,10784,0.6893317231097874,19711.429598761373,1142.2437432917527,UPI,Bank Declined,2,13,0
62,11067,0.6449086517465364,10047.196885787616,2261.5737811053336,UPI,Insufficient Funds,1,14,0
63,11420,0.5881064725329916,16599.697935557808,1346.6290188674109,UPI,Bank Declined,0,2,0
64,12009,0.9056116580379127,34522.30677209071,7705.266681277621,NetBanking,Bank Declined,0,13,1
65,11608,0.6553012863403417,3061.577311962456,722.7464902218767,Card,Insufficient Funds,2,11,0
66,12308,0.44141551181478017,4679.627418118113,2646.3410157503927,Wallet,Technical Error,0,16,0
67,10742,0.856152124382209,1130.3388130154713,8189.734243580991,NetBanking,Network Error,1,5,1
68,12592,0.7431457622437047,34611.14946923038,1587.4847532211386,UPI,Bank Declined,3,19,0
69,12435,0.7161524230966311,15600.29466257093,4624.199994720876,NetBanking,Expired Card,0,15,0
70,12063,0.7287595655881665,13565.089655490581,2863.123544849061,Card,Technical Error,2,9,1
71,12020,0.6746213490085439,9236.065769962286,2888.362466850086,UPI,Technical Error,1,13,0
72,10661,0.7201429058709697,5810.064969242255,4973.570366915113,UPI,Network Error,2,3,1
73,11827,0.5433375134763592,8766.749108385678,464.5820554773144,Wallet,Network Error,0,18,1
74,12149,0.8198414175623332,10506.631485539647,9930.459039943222,Card,Insufficient Funds,0,19,0
75,10950,0.7411990526519856,18745.73424371978,447.2030265078339,Card,Technical Error,0,15,0
76,12978,0.4167200846672615,31219.87115593161,9282.776095496902,Card,Expired Card,0,15,0
77,10024,0.649968292033189,4105.461329012195,4600.923008123397,UPI,Insufficient Funds,0,18,1
78,11616,0.7879765768537588,6440.079186196847,4784.519617430899,NetBanking,Technical Error,0,12,1
79,10017,0.6833180569626461,6975.458300623341,14981.400750698695,NetBanking,Network Error,3,1,0
80,10569,0.41532096651053724,2905.349439666091,9734.69928480952,UPI,Bank Declined,2,7,0
81,11016,0.7985357649829429,16982.382045218652,6728.9547823704115,UPI,Expired Card,1,14,1
82,11355,0.7788088651144507,11185.230681955192,2220.4623003430897,Card,Insufficient Funds,1,23,0
83,11592,0.6188756962269555,9771.732410516981,2078.2599923732405,UPI,Bank Declined,0,9,0
84,10830,0.5665770093858158,2572.4847050054696,6915.195526932988,NetBanking,Expired Card,1,3,0
85,11035,0.68226530235499,3394.3170090441135,4688.402790727769,UPI,Network Error,1,1,1
86,11932,0.3670064885770707,7688.006872059685,4028.5949354211493,NetBanking,Network Error,0,13,1
87,12210,0.46590680715653743,8249.610535793272,2815.947814607175,Card,Technical Error,1,14,1
88,11306,0.8610928569137101,11651.512180871801,1982.6567702917114,UPI,Insufficient Funds,0,21,0
89,11752,0.6057250848348215,11058.986594255379,742.4836501391079,UPI,Insufficient Funds,1,20,0
90,10871,0.6059243388800971,5107.210208847601,5673.4769474368695,UPI,Expired Card,0,21,1
91,10834,0.6398386904620247,15551.296561618119,2485.7187670746357,UPI,Insufficient Funds,0,13,0
92,10856,0.6935420217380875,24387.34207377783,2329.2861689317338,Card,Network Error,3,19,1
93,10969,0.48215280866690746,8571.771105607331,486.59923449720293,UPI,Bank Declined,2,1,0
94,10592,0.6077569715286754,6042.729768066727,3270.5105012662657,Card,Expired Card,0,19,1
95,10254,0.7714062528584322,4002.870398361528,762.5174000333508,Card,Expired Card,2,0,0
96,12114,0.5856387692896854,20430.365787736006,1930.1832336697958,UPI,Insufficient Funds,0,8,0
97,12965,0.4819767082227269,8510.434842132105,6586.009791531533,Card,Network Error,2,13,0
98,12661,0.5939032258432474,4007.520541132588,3175.679867532243,NetBanking,Technical Error,0,9,1
99,10602,0.6851446982537638,7583.120030174199,2682.8106005612335,UPI,Technical Error,0,5,1
100,11065,0.6237588303180902,6232.122550154945,1441.4189654527443,Card,Bank Declined,1,12,0
101,11811,0.6558829771796225,13439.68194403186,1724.096809337096,UPI,Insufficient Funds,3,12,1
102,11839,0.9153014269707932,17147.73519249774,14550.248801002734,UPI,Bank Declined,2,22,1
103,11809,0.7558359705204992,50659.6867265868,6501.159845307931,UPI,Technical Error,0,7,0
104,12431,0.7587218876362664,18215.915434479197,1877.886706012002,UPI,Expired Card,1,22,0
105,11257,0.6475838959418279,47876.71255451998,2682.4092438776397,NetBanking,Network Error,2,4,0
106,10965,0.38522343634939665,13076.874592675984,3817.4334834696747,Card,Insufficient Funds,2,0,0
107,11737,0.5879567265876058,10725.719388881496,4619.691844826466,UPI,Insufficient Funds,0,16,0
108,10484,0.8008631874034223,6306.545250628297,2909.3470257972176,Card,Expired Card,1,17,0
109,10038,0.7056468357977017,13452.464080440746,507.56332259545763,Card,Network Error,0,13,1
110,10010,0.8888372287494399,7592.312070129737,2888.5811768564618,UPI,Technical Error,1,0,0
111,10623,0.48686402866795137,23427.452585523035,2717.615032827972,NetBanking,Technical Error,2,6,0
112,10408,0.6868946564249465,5907.526580195833,23325.424555502734,UPI,Expired Card,1,5,0
113,12155,0.7801450340140701,1785.9871350416788,43991.56965842996,Wallet,Bank Declined,0,19,0
114,12027,0.697727313221133,7716.631217384016,5665.580757562147,UPI,Bank Declined,2,3,0
115,11117,0.6563247048807459,4717.719279760499,1514.547644973037,Card,Expired Card,2,7,0
116,12131,0.6478650540758139,7893.371522193364,5878.259984193242,Wallet,Network Error,2,8,0
117,12105,0.8322944690298762,2259.0026098950993,545.3934268244338,NetBanking,Insufficient Funds,2,1,0
118,12885,0.47987520606182843,3545.700451193332,1749.9083481942212,UPI,Insufficient Funds,1,23,0
119,10604,0.6870405803434092,6964.541223850425,586.1730924071646,Card,Insufficient Funds,3,4,0
120,10968,0.689665573200822,19912.82137630045,5169.612163282483,UPI,Expired Card,1,0,0
121,10164,0.9169040816194063,29854.79065230218,888.3172468141644,Card,Insufficient Funds,0,17,1
122,10436,0.4814210136813821,18338.97185738217,2237.266489660327,Card,Expired Card,0,22,0
123,12774,0.4593700614547764,6705.467220634673,2852.252248587471,Card,Insufficient Funds,0,2,1
124,11679,0.6114434432069781,9291.740084613331,2895.95715726832,UPI,Insufficient Funds,3,6,0
125,11809,0.7558359705204992,50659.6867265868,1857.7648266858864,Card,Expired Card,0,3,0
126,12450,0.6763453694218059,21238.561914773225,4174.358742878805,UPI,Expired Card,0,5,1
127,11409,0.8923387267856465,16106.633876536745,850.4473161222363,UPI,Insufficient Funds,3,17,0
128,11977,0.7725245501882341,21718.66434250793,16971.30817513626,Card,Insufficient Funds,0,20,0
129,11161,0.5728011214484245,20216.699942132618,1059.9054699732003,Card,Network Error,0,8,0
130,12763,0.8321378400590966,13151.654466710137,3101.6752420838416,Card,Insufficient Funds,1,0,0
131,10813,0.6879082430070393,7581.874573455344,5568.9570587421595,UPI,Expired Card,1,10,0
132,12769,0.43860654699783164,15601.014957010915,5900.049861319142,Wallet,Bank Declined,1,19,1
133,12578,0.558071398767157,19278.640316572244,6472.776968051219,Card,Network Error,0,18,0
134,11829,0.5642074794335663,4209.548172034053,606.2142709639305,UPI,Insufficient Funds,1,10,0
135,10292,0.8028379058075373,5224.043129339818,1191.0708015536627,Wallet,Insufficient Funds,1,12,0
136,11498,0.7225990411587762,12157.877679752703,3414.7441494110085,NetBanking,Network Error,0,18,0
137,10461,0.7247973234277703,30155.81987734727,4823.072288773331,UPI,Insufficient Funds,2,9,0
138,12689,0.7452300577433967,27549.360981002246,10478.997639983098,Card,Network Error,1,1,1
139,12091,0.6049991130901892,11374.864531739033,1782.8724629087997,Card,Technical Error,0,4,0
140,11106,0.6121729948788388,16172.413235299062,1205.929606892267,UPI,Insufficient Funds,1,6,0
141,12939,0.9261851330357859,22093.068911431998,1725.3242691054236,UPI,Network Error,0,0,0
142,12683,0.6601221367415395,8660.265456856792,28550.568722077314,Card,Technical Error,0,6,1
143,12586,0.7329192351030639,65763.39602927506,13365.446413980426,UPI,Bank Declined,1,1,1
144,12909,0.4676149064239334,1075.5878795066226,2516.2073555572315,NetBanking,Expired Card,1,14,1
145,12566,0.6395585678182142,22371.890887489422,10773.058357251872,UPI,Insufficient Funds,0,13,1
146,11434,0.7021935644897477,5730.089794054692,1681.6238676767284,Wallet,Bank Declined,2,20,1
147,10710,0.7183928549431046,4219.781027431224,7742.799641160451,NetBanking,Insufficient Funds,1,17,0
148,11647,0.8074121787757871,28993.275387433143,750.7564439120473,Card,Expired Card,1,17,0
149,10088,0.8304993421825041,3715.123863024895,4257.725139345254,UPI,Bank Declined,3,13,0
150,11663,0.8022675090101075,8377.042722415517,8262.396230836242,Card,Bank Declined,0,10,0
151,11041,0.7832057916046157,7672.805643863751,2150.3084975531233,UPI,Technical Error,1,20,1
152,12720,0.5312805880459596,24878.157758645142,5505.02011030595,Card,Expired Card,0,12,0
153,12911,0.4985781693004852,3143.355460628675,1700.100226763828,UPI,Expired Card,2,18,0
154,12937,0.7598973612077375,2792.6176783471146,4038.156871796605,NetBanking,Network Error,3,20,0
155,11933,0.6570861878642812,8068.241201585585,1841.7210047771416,UPI,Technical Error,0,18,1
156,10421,0.45909015457053376,12441.679689786642,6762.431637660129,Card,Bank Declined,1,2,0
157,10875,0.7060971873522371,20215.809248101643,841.8756707054827,NetBanking,Network Error,4,18,1
158,12749,0.525158760856809,9276.069076366251,1080.0715423998524,Card,Bank Declined,2,22,0
159,10337,0.7811527553673724,10593.404234493639,11000.641884510258,UPI,Technical Error,0,11,0
160,10265,0.7301741596869371,5046.96170500072,254.81180900270653,UPI,Bank Declined,1,17,1
161,12850,0.7555458038888527,4579.917013484627,1570.252096484597,Card,Expired Card,1,6,1
162,11378,0.8365624519462806,12997.75900513605,2586.1349626700016,UPI,Insufficient Funds,0,17,0
163,12407,0.7707029043899147,8341.317498955967,4242.923488497923,UPI,Network Error,2,11,1
164,11814,0.5870929802105079,22015.920811135686,1848.617840867586,UPI,Network Error,1,21,1
165,12264,0.8679331630181086,4193.339549737773,967.0394201974315,NetBanking,Bank Declined,1,9,0
166,10320,0.7204107451028534,2899.109790050658,10160.67761621359,UPI,Insufficient Funds,2,5,0
167,10849,0.6488435315640073,4514.513044762458,8546.334825674863,Wallet,Insufficient Funds,2,2,1
168,10718,0.609069692683991,12331.275803627841,2040.0104031607568,UPI,Expired Card,2,13,0
169,10991,0.9597561111212323,14348.88016529602,497.36739974151413,NetBanking,Expired Card,0,15,0
170,11808,0.7066328319749353,15234.179272625332,4048.7687387876354,UPI,Insufficient Funds,1,8,0
171,10716,0.7917940177723432,15163.040102373685,3575.1075577469583,Wallet,Bank Declined,2,6,1
172,10984,0.8615183390022055,3695.988203709581,1529.8749453709218,UPI,Network Error,0,13,1
173,11939,0.9357333129254697,10890.111918478693,421.97115443423286,UPI,Network Error,2,12,0
174,10895,0.5338848802393613,2840.788480977456,2272.068177809444,UPI,Bank Declined,1,15,0
175,11176,0.7621229640994037,7558.432617103225,6416.0362274803465,UPI,Expired Card,1,17,1
176,11776,0.8946889535386798,2234.4747664201286,7458.930630005475,Card,Expired Card,0,11,1
177,12334,0.7573972363241849,18595.672064506558,2852.1130021552212,NetBanking,Insufficient Funds,0,20,0
178,12804,0.6411986855909997,17955.876879124382,1598.0294938922978,UPI,Technical Error,1,14,1
179,11459,0.7175655774812858,8692.038738619263,6213.399603569201,Card,Insufficient Funds,0,6,0
180,11615,0.8502269834649364,5798.441560982441,956.2215464645158,NetBanking,Network Error,2,17,1
181,12543,0.7554734243078632,12921.883646637563,769.0926802023205,Wallet,Expired Card,3,13,0
182,11172,0.29131389369405714,5556.591931325301,2728.588043352473,UPI,Network Error,0,17,1
183,10541,0.7312670190388746,14853.982815976593,13994.88263513852,UPI,Network Error,0,20,1
184,10634,0.601670690475474,10983.964073477944,14529.729891367462,UPI,Expired Card,0,14,1
185,11349,0.6786820856716803,8203.56213183093,798.0906297132876,UPI,Technical Error,1,22,1
186,12986,0.936820622923103,1233.009792439542,1925.1171784287035,Card,Insufficient Funds,3,5,0
187,10697,0.5524402290567046,3017.225857976501,33992.520022394034,Card,Bank Declined,0,10,0
188,11952,0.3209780694894956,14686.600834085051,1497.5439493904955,UPI,Technical Error,3,17,1
189,12122,0.878921134503539,6404.805411282257,15059.120236015964,Card,Insufficient Funds,1,22,0
190,11604,0.8033441496223632,6940.423558995723,7911.00861802944,UPI,Insufficient Funds,0,2,0
191,10497,0.3186083099748306,10087.050629970863,9807.062905035438,UPI,Expired Card,0,22,0
192,10721,0.6961062581357275,20495.69152392462,1908.636136216481,UPI,Insufficient Funds,3,2,0
193,11774,0.7556184501033215,7332.839241612106,1965.967434940915,Card,Technical Error,1,1,1
194,11363,0.8580444195518596,6775.54539428715,1199.1686479338925,Card,Bank Declined,0,23,0
195,10307,0.43282344280810614,12535.58926507306,6626.495984029122,NetBanking,Technical Error,1,22,0
196,12751,0.7074933003824792,26402.76530267021,580.2687309117343,Wallet,Technical Error,2,11,0
197,10883,0.8692090723845167,15612.301740409466,2531.581662044489,NetBanking,Expired Card,1,21,0
198,11264,0.6708329066639735,14210.754687967705,15282.625873369376,UPI,Insufficient Funds,2,15,1
199,10252,0.4387810127685574,2950.4819243720617,5402.083586151296,UPI,Bank Declined,2,9,0
200,10935,0.7159478290429866,31970.21842779771,8124.492407279511,Wallet,Network Error,2,11,1
201,11243,0.897389488893308,9000.317171158256,575.9117077816055,NetBanking,Expired Card,2,3,0
202,12444,0.5682373844019365,3325.53879963827,1103.1411778656827,NetBanking,Bank Declined,0,21,0
203,11752,0.6057250848348215,11058.986594255379,9741.559330166721,Card,Insufficient Funds,0,18,0
204,11737,0.5879567265876058,10725.719388881496,3380.5120397023193,UPI,Insufficient Funds,2,15,1
205,11052,0.820913632666511,6710.825713765199,1054.0111009957034,NetBanking,Network Error,0,23,1
206,10493,0.7272604953480145,15286.359311093785,5576.887104318484,UPI,Technical Error,3,1,1
207,10958,0.5631101684050679,1474.6144619988945,1748.3732309066752,UPI,Technical Error,0,4,1
208,12021,0.6732536649863907,4627.0585937306405,37705.41928265846,UPI,Insufficient Funds,3,17,0
209,11747,0.4976201217851924,37221.08152819177,5426.400383229887,Card,Technical Error,2,18,1
210,11177,0.9335320855429454,1404.6137976701152,1184.8697886468142,Card,Technical Error,2,8,1
211,10991,0.9597561111212323,14348.88016529602,7194.126326310924,Card,Bank Declined,4,17,0
212,12149,0.8198414175623332,10506.631485539647,14984.450616409398,Card,Network Error,3,12,1
213,12874,0.5497309012359061,8198.356154893238,2963.2609772778587,UPI,Technical Error,2,4,0
214,12224,0.8280686670508003,9906.709746791234,1383.078171773104,UPI,Bank Declined,2,9,0
215,10926,0.8273114159513442,6972.762017342861,3116.0502043873116,Card,Expired Card,0,5,1
216,12279,0.6965796575297207,76168.36957732406,1615.1820657913142,NetBanking,Insufficient Funds,0,21,1
217,12059,0.6467389997842642,5614.567121948137,2302.3487198912,Card,Expired Card,0,16,0
218,11209,0.538905975819443,2880.1327545428035,743.3422950024823,Card,Technical Error,3,7,0
219,12808,0.7915699990192692,21376.931783954726,7152.483908603413,Card,Technical Error,2,15,1
220,10931,0.6051536445649709,10095.557645142087,944.5616328606981,UPI,Insufficient Funds,2,22,1
221,12313,0.3359113941966549,42649.178396529045,5476.173827557764,UPI,Expired Card,2,9,0
222,11925,0.9489112992477934,14695.935282202658,2199.3120506205573,UPI,Bank Declined,5,10,0
223,11158,0.8093399460675503,5717.382948766007,3725.295489677401,Card,Technical Error,0,4,1
224,10756,0.6053932976226034,5320.933375054414,1854.3610921471188,Card,Expired Card,5,7,0
225,11054,0.46550003999712153,10544.925729871426,3627.2030163188056,UPI,Insufficient Funds,1,14,0
226,10455,0.7666220429809398,3840.082727239266,4594.650792531191,Card,Expired Card,2,9,0
227,10258,0.6802470557672328,2389.828308582647,2098.831472627639,NetBanking,Network Error,3,5,1
228,10430,0.7091783219160741,5301.117932182467,528.718525651024,UPI,Technical Error,2,1,0
229,12516,0.7304420771971561,4738.419929340854,4175.608514337807,Wallet,Expired Card,3,16,0
230,11964,0.6637241951439276,6064.343752941646,4406.470104905685,Wallet,Network Error,0,20,1
231,11973,0.6356292960912789,3296.374928637655,711.417879879856,NetBanking,Bank Declined,0,17,0
232,10646,0.5791456763038239,13678.528920295124,1117.5803412137614,NetBanking,Network Error,0,22,0
233,10446,0.5629876509913092,12899.146761036505,2105.277654188827,UPI,Network Error,1,5,1
234,12830,0.6772041761295492,4642.327489964641,300.40672440292906,UPI,Insufficient Funds,3,9,0
235,11112,0.8907107239743927,2479.211115929506,6050.560054064065,Wallet,Insufficient Funds,1,15,0
236,10194,0.5186056654107106,26990.87388568197,1828.3965570077903,UPI,Insufficient Funds,2,17,0
237,11437,0.6897566353407569,19700.711704587884,3978.1432734645578,UPI,Insufficient Funds,0,5,0
238,11145,0.4669719336250205,6954.966955900346,1030.4271774725714,UPI,Technical Error,0,0,0
239,12509,0.8105167588350133,7466.543130477443,22415.064151995433,Card,Insufficient Funds,2,16,0
240,11139,0.34402175269179164,4296.869432637571,720.1147389815065,UPI,Bank Declined,0,16,0
241,10195,0.7231259115445812,5481.179986194259,1810.8043956391239,UPI,Bank Declined,0,0,0
242,12083,0.4432187734970794,7988.217097854556,9888.06486556935,NetBanking,Expired Card,2,13,0
243,12114,0.5856387692896854,20430.365787736006,944.4327911703903,Card,Bank Declined,5,3,0
244,10644,0.47770128666797956,5431.491531683098,3265.011172069098,Card,Technical Error,0,16,1
245,11034,0.6865560371079128,16468.537833417093,5579.436480857951,UPI,Bank Declined,1,18,0
246,11753,0.7912176378476387,11604.879271826238,660.8519529229758,UPI,Insufficient Funds,0,13,1
247,10321,0.8535232064243521,24344.070630687613,1527.4342391967352,UPI,Insufficient Funds,0,5,0
248,11691,0.5382861647948629,4831.119171753421,3605.3105652236295,Card,Bank Declined,1,10,1
249,12287,0.6387521276640346,18390.758087465656,4690.6221149367875,NetBanking,Insufficient Funds,1,8,0
250,11016,0.7985357649829429,16982.382045218652,1309.8945119981859,Card,Network Error,1,7,0
251,10649,0.7784852133894193,42548.99533833614,18780.368511834087,UPI,Network Error,1,11,0
252,12609,0.9360597312283351,43988.35163689587,4821.997972515395,NetBanking,Technical Error,2,5,1
253,11702,0.7950524952511513,9810.247037467028,6481.143521809304,UPI,Insufficient Funds,1,15,0
254,12212,0.7037140919113718,16568.810819446895,6111.876602789045,UPI,Network Error,1,19,0
255,10830,0.5665770093858158,2572.4847050054696,624.3384416786682,NetBanking,Insufficient Funds,3,9,0
256,10188,0.3878773553224689,19991.574675523458,2657.7360566475973,UPI,Technical Error,3,20,0
257,11510,0.4659392017012844,3842.976251762931,2932.9461185274354,Card,Bank Declined,1,2,0
258,10091,0.5914133988329802,9650.06293746264,2311.4741168911446,UPI,Network Error,1,6,0
259,11911,0.8683215227558677,7438.874265121184,3668.206074843108,UPI,Expired Card,0,9,0
260,12336,0.7668481736273012,10874.303441834014,362.3830151065424,Card,Network Error,0,20,0
261,11580,0.925282875505639,6156.622558589274,3388.3077542768347,UPI,Insufficient Funds,1,11,0
262,11408,0.49690501032294054,7536.629784462744,2201.0383949055254,UPI,Expired Card,2,5,0
263,10174,0.5727219766916729,5722.37133194443,359.22857450505427,Card,Bank Declined,2,1,0
264,11696,0.34739142359235764,13870.243280341298,4547.908892225763,UPI,Technical Error,0,11,0
265,10473,0.7125850799029596,2546.3560791120713,914.8898957246569,NetBanking,Bank Declined,1,9,0
266,11934,0.648380135072091,3781.505222952183,2037.499815193651,NetBanking,Bank Declined,1,10,0
267,10269,0.8896886282142548,2635.65055087164,2311.380930907299,Card,Network Error,0,22,1
268,12044,0.493773749387548,18258.066813716145,470.5069006470847,UPI,Insufficient Funds,2,3,0
269,12454,0.7188684910213755,9719.485229233573,526.1838445425132,Card,Expired Card,1,22,0
270,10693,0.5310209886127204,23025.978383729347,5142.9163806621455,Card,Bank Declined,1,0,0
271,10375,0.6525230913230035,3188.7475663801115,1629.7498923950538,UPI,Insufficient Funds,2,0,0
272,11415,0.7565139758898388,4898.454622063637,2012.4202522448568,UPI,Bank Declined,0,13,1
273,12229,0.773630577359512,38427.70650777003,3206.199648536674,NetBanking,Technical Error,2,1,0
274,12083,0.4432187734970794,7988.217097854556,513.7742654915876,UPI,Expired Card,2,2,0
275,11235,0.8727760231103591,24582.748729921488,1982.8580921785708,Card,Network Error,1,19,1
276,11971,0.9067213098708733,33046.04177063295,2668.7912177589474,UPI,Bank Declined,1,11,0
277,10133,0.8301548440397436,10659.419116487155,17405.388550643744,NetBanking,Network Error,1,17,1
278,12912,0.5702673093246965,41947.6115573947,1187.6220972211527,UPI,Technical Error,0,2,1
279,10923,0.6740653561383212,5348.262128339614,6560.877125294826,NetBanking,Bank Declined,3,20,0
280,10689,0.6317299169737793,10646.510845811079,2975.6131640812273,UPI,Bank Declined,2,3,0
281,11701,0.7314429830000959,10589.058860351946,957.5806241507712,NetBanking,Network Error,1,7,1
282,12029,0.8256148099779185,13037.870656531526,1582.9711000186728,UPI,Expired Card,5,6,0
283,12538,0.8422510915224113,13187.036159671268,7088.750441625487,Card,Network Error,1,4,1
284,11872,0.6466635816533461,9202.856653681272,6483.368513417054,NetBanking,Insufficient Funds,0,11,0
285,10840,0.6958637027502608,17609.12643054162,1771.745219918423,UPI,Insufficient Funds,2,10,0
286,10987,0.5957625939364661,23512.99071957745,4203.718265310127,UPI,Insufficient Funds,1,17,0
287,11461,0.3805799137336982,4862.796366638678,1056.7836725751383,Wallet,Expired Card,0,16,0
288,10838,0.678783507273222,11935.856931041926,2498.490295843534,UPI,Technical Error,2,4,0
289,12715,0.7718599133670079,4017.435608840793,1939.9294302611427,Card,Technical Error,3,13,1
290,12479,0.6594227237707172,7029.193861143596,7568.705028314425,UPI,Network Error,1,17,0
291,11451,0.8219004599089957,4331.086707081893,4735.4999166723155,Card,Technical Error,2,12,1
292,10747,0.8906521589117948,8580.354682896115,1516.1549437664667,UPI,Insufficient Funds,2,19,0
293,12875,0.6784147168392513,12996.064437540774,1674.8965197072744,Card,Network Error,1,2,1
